Price,Close,High,Low,Open,Volume
Ticker,^RUT,^RUT,^RUT,^RUT,^RUT
Date,,,,,
2019-07-29,1569.030029296875,1580.02001953125,1565.6300048828125,1578.9000244140625,3224490000
2019-07-30,1585.5999755859375,1586.3199462890625,1557.969970703125,1567.6500244140625,3632770000
2019-07-31,1574.6099853515625,1599.4000244140625,1568.4000244140625,1586.760009765625,4626330000
2019-08-01,1550.760009765625,1587.81005859375,1546.550048828125,1574.9300537109375,4793810000
2019-08-02,1533.6600341796875,1550.4599609375,1522.3699951171875,1550.4599609375,3882810000
2019-08-05,1487.4100341796875,1532.3900146484375,1472.6600341796875,1532.3900146484375,4542850000
2019-08-06,1502.0899658203125,1502.8599853515625,1483.4000244140625,1487.6800537109375,4156640000
2019-08-07,1500.68994140625,1504.5899658203125,1478.449951171875,1501.530029296875,4512720000
2019-08-08,1532.1300048828125,1533.5,1502.3199462890625,1502.3199462890625,4118530000
2019-08-09,1513.0400390625,1530.9599609375,1509.9599609375,1530.9599609375,3356850000
2019-08-12,1495.9000244140625,1512.760009765625,1495.6300048828125,1512.760009765625,3328570000
2019-08-13,1510.5799560546875,1522.77001953125,1490.0,1493.4100341796875,3857190000
2019-08-14,1467.52001953125,1509.5799560546875,1465.4599609375,1509.5799560546875,4325150000
2019-08-15,1461.6500244140625,1470.93994140625,1456.280029296875,1467.5799560546875,4041720000
2019-08-16,1493.6400146484375,1494.6800537109375,1462.1300048828125,1462.1300048828125,3524080000
2019-08-19,1508.8499755859375,1515.3399658203125,1496.6199951171875,1496.6199951171875,3221050000
2019-08-20,1498.010009765625,1508.6300048828125,1497.77001953125,1508.6300048828125,3067710000
2019-08-21,1509.8499755859375,1512.0799560546875,1498.5400390625,1498.5400390625,3016540000
2019-08-22,1506.0,1516.469970703125,1500.3699951171875,1510.800048828125,2893660000
2019-08-23,1459.489990234375,1505.6800537109375,1456.9000244140625,1504.300048828125,3942520000
2019-08-26,1476.0,1476.3399658203125,1461.5899658203125,1461.5899658203125,2859790000
2019-08-27,1456.0400390625,1485.6700439453125,1454.9100341796875,1479.4599609375,3537490000
2019-08-28,1472.7099609375,1478.030029296875,1450.3199462890625,1455.9000244140625,3102480000
2019-08-29,1496.719970703125,1498.780029296875,1478.47998046875,1478.47998046875,3177150000
2019-08-30,1494.8399658203125,1504.449951171875,1488.3399658203125,1499.0699462890625,3009910000
2019-09-03,1472.280029296875,1494.030029296875,1467.469970703125,1494.030029296875,3427830000
2019-09-04,1484.760009765625,1487.93994140625,1475.3599853515625,1475.3599853515625,3167900000
2019-09-05,1510.75,1521.7900390625,1491.27001953125,1491.27001953125,3902600000
2019-09-06,1505.1700439453125,1517.010009765625,1504.9100341796875,1511.510009765625,3209340000
2019-09-09,1524.22998046875,1526.0999755859375,1506.77001953125,1507.530029296875,4031120000
2019-09-10,1541.6099853515625,1543.6300048828125,1516.56005859375,1523.5699462890625,4393040000
2019-09-11,1575.7099609375,1575.8299560546875,1541.8800048828125,1543.8699951171875,3934370000
2019-09-12,1575.0699462890625,1580.719970703125,1562.81005859375,1575.800048828125,3796990000
